gene	drug	locus	start	end
gyrB	fluoroquinolones (FQ)	Rv0005	5240	7267
gyrA	fluoroquinolones (FQ)	Rv0006	7302	9818
Fgd1	DELAMANID	Rv0407	490783	491793
rpoB	RIFAMPICIN/RIFABUTIN	Rv0667	759807	763325
rv0678	BDQ/CFZ	Rv0678	778990	779487
rplC	LINEZOLID	Rv0701	800809	801462
fbiC	DELAMANID/PRETOMANID	Rv1173	1302931	1305501
atpB	BDQ/CFZ	Rv1304	1460244	1460996
rrs	AMK/CAP/KAN	MTB000019/Rv1305	1471846	1473382
atpE	BDQ/CFZ	Rv1305	1471846	1473382
rrl	LINEZOLID/CAPREOMYCIN	MTB000020	1473658	1476795
fabG1	ISONIAZID/ETHIONAMIDE	Rv1483	1673440	1674183
inhA	ISONIAZID/ETHIONAMIDE	Rv1484	1674202	1675011
rpsA	PYRAZINAMIDE	Rv1630	1833542	1834987
katG	ISONIAZID	Rv1908c	2153889	2156111
furA	ISONIAZID	Rv1909c	2156149	2156592
rv1979c	BDQ/CFZ	Rv1979c	2221719	2223164
pncA	PYRAZINAMIDE	Rv2043c	2288681	2289241
kasA	ISONIAZID	Rv2245	2518115	2519365
eis	KANAMYCIN	Rv2416c	2714124	2715332
ahpC	ISONIAZID	Rv2428	2726193	2726780
pepQ	BDQ/CFZ	Rv2535c	2859300	2860418
thyA	PAS	Rv2764c	3073680	3074471
fbiA	DELAMANID	Rv3261	3640543	3641538
fbiB	DELAMANID	Rv3262	3641535	3642881
Ddn	DELAMANID/PRETOMANID	Rv3547	3986844	3987299
clpC1	PYRAZINAMIDE	Rv3596c	4038158	4040704
panD	PYRAZINAMIDE	Rv3601c	4043862	4044281
embC	ETHAMBUTOL	Rv3793	4239863	4243147
embA	ETHAMBUTOL	Rv3794	4243233	4246517
embB	ETHAMBUTOL	Rv3795	4246514	4249810
